Timestamp,Type,Sender,Receiver,Message
2026-07-10 21:43:47,PRIVATE,Deepak,Kunal,I am good WBY?
2026-07-10 21:44:44,BROADCAST,Deepak,ALL,Okay Guys I need to go.....Byeeeee
2026-07-10 21:44:46,SYSTEM,SERVER,ALL,Deepak left the chat
2026-07-10 21:45:03,SYSTEM,SERVER,ALL,Utkarsh left the chat
2026-07-10 21:46:18,SYSTEM,SERVER,ALL,Deepak joined the chat
2026-07-10 21:46:49,SYSTEM,SERVER,ALL,Utkarsh joined the chat
2026-07-10 21:57:00,SYSTEM,SERVER,ALL,kunal joined the chat
2026-07-10 21:57:07,BROADCAST,kunal,ALL,heyy
2026-07-10 21:57:39,SYSTEM,SERVER,ALL,deepak joined the chat
2026-07-10 21:58:05,PRIVATE,deepak,kunal,hi
2026-07-10 21:58:27,PRIVATE,deepak,kunal,hi
2026-07-10 21:59:39,SYSTEM,SERVER,ALL,Karan joined the chat
2026-07-10 22:01:36,BROADCAST,kunal,ALL,hey everyone
2026-07-10 22:01:45,BROADCAST,deepak,ALL,helloooooo
2026-07-10 22:02:30,PRIVATE,deepak,kunal,hello
2026-07-10 22:03:18,PRIVATE,kunal,deepak,hello ji
2026-07-10 22:04:09,SYSTEM,SERVER,ALL,Karan left the chat
2026-07-10 22:04:14,SYSTEM,SERVER,ALL,kunal left the chat
2026-07-10 22:04:20,SYSTEM,SERVER,ALL,deepak left the chat
